TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1474316927,"North Station","417","Fitchburg",1474317000,0,"9","All Aboard"
1474316927,"North Station","213","Haverhill",1474317000,0,"4","All Aboard"
1474316927,"North Station","167","Newburyport",1474317000,0,"2","All Aboard"
1474316927,"North Station","193","Beverly",1474317600,0,"3","Now Boarding"
1474316927,"North Station","329","Lowell",1474317900,0,,"On Time"
1474316927,"North Station","293","Reading",1474318080,0,,"On Time"
1474316927,"North Station","419","Fitchburg",1474318800,0,,"On Time"
1474316927,"North Station","117","Rockport",1474318800,0,,"On Time"
1474316927,"North Station","331","Lowell",1474319400,0,,"On Time"
1474316927,"North Station","169","Newburyport",1474319700,0,,"On Time"
1474316927,"North Station","215","Haverhill",1474319700,0,,"On Time"
1474316927,"North Station","119","Rockport",1474320600,0,,"On Time"
1474316927,"North Station","421","Fitchburg",1474320900,0,,"On Time"
1474316927,"North Station","217","Haverhill",1474320900,0,,"On Time"
1474316927,"North Station","333","Lowell",1474320900,0,,"On Time"
1474316927,"North Station","171","Newburyport",1474321200,0,,"On Time"
1474316927,"North Station","335","Lowell",1474321800,0,,"On Time"
1474316927,"North Station","423","Fitchburg",1474322100,0,,"On Time"
1474316927,"South Station","821","Wickford Junction",1474317000,0,"9","All Aboard"
1474316927,"South Station","591","Framingham",1474317300,0,"2","Now Boarding"
1474316927,"South Station","019","Middleboro/Lakeville",1474317600,0,,"On Time"
1474316927,"South Station","617","Needham Heights",1474317900,0,,"On Time"
1474316927,"South Station","717","Forge Park / 495",1474317900,0,,"On Time"
1474316927,"South Station","083","Greenbush",1474318320,0,,"On Time"
1474316927,"South Station","823","Providence",1474318500,0,,"On Time"
1474316927,"South Station","775","Readville",1474318800,0,,"On Time"
1474316927,"South Station","045","Kingston",1474318800,0,,"On Time"
1474316927,"South Station","745","Walpole",1474318980,0,,"On Time"
1474316927,"South Station","521","Worcester / Union Station",1474319100,0,,"On Time"
1474316927,"South Station","021","Middleboro/Lakeville",1474319520,0,,"On Time"
1474316927,"South Station","917","Stoughton",1474319580,0,,"On Time"
1474316927,"South Station","593","Framingham",1474319700,0,,"On Time"
1474316927,"South Station","085","Greenbush",1474320000,0,,"On Time"
1474316927,"South Station","719","Forge Park / 495",1474320000,0,,"On Time"
1474316927,"South Station","619","Needham Heights",1474320420,0,,"On Time"
1474316927,"South Station","047","Kingston",1474321080,0,,"On Time"
